artigoEmPeriodico	 	2018		Acoustic radiation force impulse elastography of the eyes of brachycephalic dogs	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	ABREU, T. G. M. ; FELICIANO, M. A. R. ; RENZO, R. ; KOBASHIGAWA, K. K. ; CHACALTANA, F. D. Y. C. ; CRIVELARO, R. M. ; ALDROVANI, M. ; MARONEZI, M. C. ; Thiesen, R. ; LAUS, J. L.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.taap.2013.01.030	Mercury induces proliferation and changes in phenotype in vascular smooth muscle cells trough MAPK, oxidative stress and cyclooxygenase-2 pathways.	Toxicology and Applied Pharmacology	AGUADO, ANDREA ; GALÁN, MARÍA ; ZHENYUKH, OLHA ; WIGGERS, GIULIA A. ; ROQUE, FERNANDA R. ; REDONDO, SANTIAGO ; PEÇANHA, FRANCK ; MARTÍN, ANGELA ; FORTUÑO, ANA ; CACHOFEIRO, VICTORIA ; TEJERINA, TERESA ; Salaices, Mercedes ; BRIONES, ANA M.		
artigoEmPeriodico	 	2013		Inserting the family in the elderly care management with Diabetes Mellitus	Revista de Enfermagem UFPE On Line	SALBEGO, L. P. ; SILVEIRA, A. DA SILVEIRA, A. ; RAMOS, A. K. ; PEZ, A. P. Z. ; HAMMERSCHMIDT, K. S. A.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.jep.2013.03.070	The influence of Bauhinia forficata Link subsp. pruinosa tea on lipid peroxidation and non-protein SH groups in human erythrocytes exposed to high glucose concentrations	Journal of Ethnopharmacology	SALGUEIRO, ANDRÉIA C.F. ; LEAL, CARINA Q. ; BIANCHINI, MATHEUS C. ; PRADO, IANELI O. ; MENDEZ, ANDREAS S.L. ; PUNTEL, ROBSON L. ; FOLMER, Vanderlei ; SOARES, FÉLIX A. ; Ávila, Daiana S. ; Puntel, Gustavo O.		
artigoEmPeriodico	 	2013		Effects of essential oil from leaves of Eugenia sulcata Spring ex Mart. (Myrtaceae) on hemodynamic parameters of Wistar rats	Latin American Journal of Pharmacy	Santos KT ; Lima B.G. ; TIETBOHL, L. A. C. ; FERNANDES, C. P. ; Sant'Anna LS ; Bressa P.A.C. ; MOREIRA, C. M. ; Rocha L.		
artigoEmPeriodico	 	2013		O DESENVOLVIMENTO MOTOR DE MENORES ASSISTIDOS EM UMA ESCOLA INFANTIL DE URUGUAIANA: AVALIAÇÃO E INTERVENÇÃO COM CRIANÇAS DE 0 À 5 ANOS	Udesc em Ação	SANTOS, C. C. ; CHIQUETTI, E. M. S. ; PINHEIRO, T. F. D. ; SANTOS, C. L. ; DORNELLES, F. A. ; SANTOS, G. B. ; SENTENA, J. T. ; QUOOS, L. R. ; MARTINS, L. B. ; ANGONESI, P. S. ; OLIVEIRA, S. M. R. ; NARDIN, S. Z.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/s0103-84782013000500017	Mielopatia compressiva por lipoma de células fusiformes infiltrativo em cão	CIENCIA RURAL	SANTOS, Rosmarini Passos dos ; SANTOS, Rosmarini Passos dos ; KOMMERS, GLAUCIA DENISE ; BECKMANN, Diego Vilibaldo ; LUCENA, RICARDO BARBOSA ; AIELLO, GRACIANE ; GOMES, CRISTIANO ; RIPPLINGER, ANGEL ; MAZZANTI, Alexandre		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.cbi.2013.05.014	Galactofuranosyl glycosides: Immunomodulatory effects on macrophages and in vivo enhancement of lethality on sepsis	Chemico-Biological Interactions (Print)	SASSAKI, GUILHERME L. ; RATTMANN, YANNA D. ; SANTANA-FILHO, ARQUIMEDES P. ; RITER, DANIEL S. ; IAGHER, FABÍOLA ; TRINDADE, EDVALDO S. ; DA SILVA, MORGANA D. ; Santos, Adair R.S. ; DE SOUZA, LAURO MERA ; IACOMINI, MARCELLO ; GORIN, PHILIP A.J.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.jpain.2013.01.699	Comparison of TENS, spinal cord stimulation and acupuncture in inflammatory, neuropathic and non-inflammatory pain models in rats	The Journal of Pain (Print)	SATO, K. ; da Silva, M. ; SLUKA, K.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1007/s11064-013-1000-9	Sciatic Nerve Transection Modulates Oxidative Parameters in Spinal and Supraspinal Regions	Neurochemical Research	SCHEID, TAÍNA ; BOSCO, Lidiane Dal ; GUEDES, RENATA P. ; PAVANATO, MARIA AMÁLIA ; Belló-Klein, Adriane ; PARTATA, WANIA A.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1007/s12013-012-9407-5	Moderate Red Wine and Grape Juice Consumption Modulates the Hydrolysis of the Adenine Nucleotides and Decreases Platelet Aggregation in Streptozotocin-Induced Diabetic Rats	Cell Biochemistry and Biophysics	SCHMATZ, R. ; MANN, T. ; SPANEVELLO, R. ; Machado, Michel M. ; ZANINI, D. ; PIMENTEL, V. C. ; STEFANELLO, N. ; MARTINS, C. C. ; CARDOSO, A. M. ; BAGATINI, M. ; GUTIERRES, J. ; A.M.LEAL, C. ; PEREIRA, L. B. ; MAZZANTI, C. ; SCHETINGER, M. R. ; MORSCH, V.M.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.vetmic.2012.10.031	Partial sequence analysis of B2L gene of Brazilian orf viruses from sheep and goats	Veterinary Microbiology (Amsterdam. Print)	SCHMIDT, CANDICE ; CARGNELUTTI, JULIANA F. ; BRUM, MÁRIO C.S. ; TRAESEL, CAROLINA K. ; Weiblen, Rudi ; Flores, Eduardo F.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1039/c3md00222e	Imidazolium salts as antifungal agents: activity against emerging yeast pathogens, without human leukocyte toxicity	MedChemComm	SCHREKKER, HENRI S. ; DONATO, RICARDO K. ; FUENTEFRIA, ALEXANDRE M. ; BERGAMO, VANESSA ; OLIVEIRA, LUÍS FLÁVIO ; MACHADO, MICHEL M.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.4067/s0301-732x2013000300004	Effect of increasing pasture allowance and concentrate supplementation on animal performance and microbial protein synthesis in dairy cows	Archivos de Medicina Veterinaria (Impresa)	SCHÖBITZ, J ; RUIZ-ALBARRÁN, M ; BALOCCHI, OA ; WITTWER, F ; Noro, M ; PULIDO, RG		
artigoEmPeriodico	 	2013		Conscientização de adolescentes sobre a guarda responsável de animais	Revista Ciência em Extensão	Segatto, T. ; MISTIERI, Maria Lígia de Arruda ; DUARTE, Claudia Acosta ; LÜBECK, Irina ; PASCON, João Paulo da Exaltação		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/s1414-81452013000100013	A sexualidade na formação acadêmica do enfermeiro	Escola Anna Nery	SEHNEM, Graciela Dutra; RESSEL, L. ; JUNGES, C. F. ; SILVA, F. M. ; BARRETO, C. N.		
artigoEmPeriodico	 	2013		A sexualidade no cuidado de enfermagem: retirando véus	Ciência, Cuidado e Saúde (Online)	SEHNEM, Graciela Dutra; RESSEL, L. B. ; PEDRO, E. N. R. ; BUDO, M. L. D. ; SILVA, F. M.		
artigoEmPeriodico	 	2013		Indicadores sanguíneos y ruminales del balance de magnesio en vacas lecheras en pastoreo y suplementadas con óxido o quelato de magnesio	Zootecnia Tropical - FONAIAP	SEPÚLVEDA, P.C. ; WITTWER, F. ; NORO, M.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.9789/2175-5361.2013v5n2p3655	MATRIX SUPPORT AND INTEGRAL CARE NETWORKS IN MENTAL HEALTH	Revista de Pesquisa: Cuidado é Fundamental (Online)	SILVA, ALINE ; FURTADO, BRUNA ; TORRES, ODETE ; SINIAK, DÉBORA		
artigoEmPeriodico	 	2013		Innovative use of microwave radiation in forced degradation of azol pharmaceutical	Revista Brasileira de Farmácia / Brazilian Journal of Pharmacy	Silva, F. E.B.; KAEFER, C. L. ; Becker, N. ; BARBOSA, F. S. ; PICOLOTO, R. S. ; BARIN, J. S. ; FLORES, E. M. M.		
artigoEmPeriodico	 	2013		Práticas de vida de portadores de hipertensão arterial: estudo qualitativo	Revista Enfermagem UERJ	SILVA, Fernanda Machado da ; BUDÓ, Maria de Lourdes Denardin ; GARCIA, Raquel Pötter ; SEHNEM, Graciela Dutra ; SCHIMITH, Maria Denise		
artigoEmPeriodico	 	2013		Concentração de lactato sérico em ovelhas e cordeiros mestiços (1/2 Suffolk) nascidos em eutocia	Arquivo Brasileiro de Medicina Veterinária e Zootecnia	SILVA, L.P. ; LOURENCO, M. L. G. ; GRANDI, M. C. ; ULIAN, C. M. V. ; SUDANO, M.J. ; CHIACCHIO, S. B.		
artigoEmPeriodico	 	2013		Projeto ?Melhor amigo? na conscientização da guarda responsável de animais de estimaçãoR	Revista Ciência em Extensão	Silva, M. N. G. ; MISTIERI, Maria Lígia de Arruda ; DUARTE, Claudia Acosta ; PASCON, João Paulo da Exaltação ; LÜBECK, Irina ; Centeno, L. V. ; Souza Jr, W. S. ; Weiler, T. ; Pereira, D. T. P. ; Prado, L. M.		
artigoEmPeriodico	 	2013		Tendência da produção científica sobre diabetes mellitus nas teses e dissertações da enfermagem brasileira	Revista Saúde (Santa Maria)	SILVA, Marciele Moreira da ; BUDÓ, Maria de Lourdes Denardin ; GARCIA, Raquel Pötter ; SIMON, Bruna Sodré ; ROSSO, Laís Fuzer		
artigoEmPeriodico	 	2013		Vulnerabilidade das crianças com necessidades especiais de saúde: implicações para a enfermagem	Revista Gaúcha de Enfermagem (Online)	SILVEIRA, A. DA SILVEIRA, A.; NEVES, E. T.		
artigoEmPeriodico	 	2013		O Método Canguru em Unidade de Terapia Intensiva Neonatal: relato de experiência	Biblioteca Las Casas	SILVEIRA, A. DA SILVEIRA, A.; NEVES, E. T. ; JANTSCH, L. B. ; SANTOS, C. B.		
artigoEmPeriodico	 	2013		Cuidado familial das crianças com necessidades especiais de saúde: um processo (sobre)natural e de (super)proteção	Texto & Contexto Enfermagem (UFSC. Impresso)	SILVEIRA, A. DA SILVEIRA, A.; NEVES, E. T. ; PAULA, C.C.		
artigoEmPeriodico	 	2013		A família de crianças/adolescentes hospitalizados: o grupo como estratégia de cuidado	Ciência, Cuidado & Saúde	SILVEIRA, A. DA SILVEIRA, A.; NEVES, E. T. ; ZAMBERLAN, K. C. ; PEREIRA, F. P. ; ARRUE, A. M. ; PIESAZAK, G.M.		
artigoEmPeriodico	 	2013		Educação em saúde: saberes dos familiares de crianças com necessidades especiais de saúde	Revista de Enfermagem UFPE On Line	SILVEIRA, A. DA SILVEIRA, A.; NEVES, E. T. ; ZAMBERLAN, K. C. ; PIESAZAK, G.M. ; BEUTER, M.		
artigoEmPeriodico	 	2013		Social support network to the caregiving family of an individual with a chronic disease: integrative review	Revista de Enfermagem UFPE On Line	Simon, B.S.; BUDÓ, M.L.D. ; GARCIA, R.P. ; GOMES, T. F. ; OLIVEIRA, S.G ; SILVA, M. M.		
artigoEmPeriodico	 	2013		Rede de apoio social da família cuidadora de familiar com doença crônica: revisão integrativa	Revista de Enfermagem UFPE On Line	SIMON, Bruna Sodré ; BUDÓ, Maria de Lourdes Denardin ; GARCIA, Raquel Pötter ; GOMES, Taís Falcão ; OLIVEIRA, Stefanie Griebeler ; SILVA, Marciele Moreira da		
artigoEmPeriodico	 	2013		RELATO DE EXPERIÊNCIA DE ESTÁGIO DE DOCÊNCIA NA ÁREA DE ENFERMAGEM PSIQUIÁTRICA E SAÚDE MENTAL	Ciência, Cuidado e Saúde (Online)	SINIAK, D. S.; da Silva, A.B. ; PINHO, L. B.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.9789/2175-5361.2013v5n4p503	ADHERENCE TO MEDICATION THERAPY IN USERS OF PSYCHOACTIVE SUBSTANCES	Revista de Pesquisa: Cuidado e Fundamental (Online)	SINIAK, DÉBORA; BRUM, ZALÉIA		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.fct.2013.01.032	Catechins are not major components responsible for the beneficial effect of Camellia sinensis on the ovarian δ-ALA-D activity inhibited by cadmium	Food and Chemical Toxicology	Soares, M. B. ; Izaguirry, A. P. ; Vargas, L. M. ; MENDEZ, A. S. L. ; Spiazzi, C. C. ; Santos, Francielli Weber		
artigoEmPeriodico	 	2013		Conhecimento de escolares sobre fatores de risco para doenças e agravos não transmissíveis	Lecturas Educación Física y Deportes (Buenos Aires)	SOARES, R. G. ; COPETTI, J.		
artigoEmPeriodico	 	2013		Perfil dos produtores de leite e caracterização técnica das propriedades leiteiras dos municípios de Rondon do Pará e Abel Figueredo, estado do Pará	Veterinária em Foco (ULBRA)	SOARES, S. O. ; OAIGEN, Ricardo Pedroso ; BARBOSA, J. D. ; OLIVEIRA, C. M. C. ; ALBERNAZ, T. T. ; DOMINGUES, F.N. ; MAIA, J. T. S. ; CHRISTMANN, C. M.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.5007/2175-7925.2013v26n2p175	Morfometria do forame mandibular de Cerdocyon thous (Linnaeus, 1766) (cachorro-do-mato)	Biotemas	SOUZA JUNIOR, P.; PINTO, R. J. F. ; FREITAS, A.B. ; CARVALHO, N. C.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/S0103-84782013005000028	Linfadenectomia laparoscópica em cadela com neoplasia mamária	Ciência Rural (UFSM. Impresso)	SOUZA, FERNANDO WIECHETECK DE ; BRUN, MAURÍCIO VELOSO ; NARDI, ANDRIGO BARBOZA DE ; HUPPES, RAFAEL RICARDO ; QUARTERONE, CAROLINA ; RAPOSO, TALITA MARIANA MORATA ; KASPER, PRISCILA NATASHA ; OLIVEIRA, MARÍLIA TERESA DE ; GUEDES, ROGÉRIO LUIZARI		
artigoEmPeriodico	 	2013		Blefaroplastia para correção de coloboma palpebral bilateral em um gato	Jornal Brasileiro de Cirurgia Veterinária	SOUZA, FERNANDO WIECHETECK DE ; GUEDES, R. L. ; OLIVEIRA, M. T. ; KASPER, P. N. ; SANTALUCIA, S. ; CASTRO, J. L. C. ; FUPPES, R. R. ; BERTOLETTI, B. ; FERANTI, J. P. S. ; BRUN, M. V.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.fct.2013.01.048	γ-Oryzanol protects against acute cadmium-induced oxidative damage in mice testes.	Food and Chemical Toxicology	Spiazzi, C. C. ; Manfredini, V. ; SILVA, F. E. B. ; FLORES, E. M. M. ; Izaguirry, A. P. ; Vargas, L. M. ; Soares, M. B. ; SANTOS, F. W.		
artigoEmPeriodico	 	2013		Metarhizium anisopliae chitinase CHIT30 is involved in heat-shock stress and contributes to virulence against Dysdercus peruvianus	Fungal ecology	STAATS, Charley Christian ; KMETZSCH, L. ; LÜBECK, I. ; JUNGES, A. ; VAINSTEIN, Marilene Henning ; SCHRANK, Augusto		
artigoEmPeriodico	 	2013		SABERES E PRÁTICAS DE PAIS OU RESPONSÁVEIS NO CUIDADO DE PRÉ-ESCOLARES	Revista de Enfermagem da UFSM	STAMM, B.; BASTOS ; MENEZES ; NORA ; HEMPEL		
artigoEmPeriodico	 	2013		Profile of attendances made by an Advanced Support Unit from the Mobile Emergency Care Service (MECS) of Rio Grande do Sul state, Brazil	Scientia Medica (PUCRS. Impresso)	STAMM, B.; LEITE ; CASAGRANDE, D.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/S0036-46652013000500010	Application of 6-nitrocoumarin as a substrate for the fluorescent detection of nitroreductase activity in Sporothrix schenckii	Revista do Instituto de Medicina Tropical de São Paulo (Impresso)	STOPIGLIA, CHEILA D.O.; CARISSIMI, Mariana ; DABOIT, Tatiane Caroline ; STEFANI, Valter ; CORBELLINI, Valeriano A. ; SCROFERNEKER, Maria Lúcia		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.3109/13693786.2013.818726	Antifungal susceptibilities and identification of species of the <b> <i>Sporothrix schenckii</i> </b> complex isolated in Brazil	Medical Mycology (Oxford. Online)	STOPIGLIA, CHEILA D.O.; RAMÍREZ-CASTRILLÓN, M. ; MAGAGNIN, C. M. ; MENDES, S. D. C. ; HEIDRICH, D. ; Valente, P. ; SCROFERNEKER, M. L.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1002/jobm.201200516	Susceptibility of species within the <i>Sporothrix schenckii</i> complex to a panel of killer yeasts	Journal of Basic Microbiology	Stopiglia, Cheila Denise Ottonelli; HEIDRICH, Daiane ; SORRENTINO, Julia Medeiros ; Vieira, Fabiane Jamono ; LANDELL, Melissa Fontes ; VALENTE, Patrícia ; SCROFERNEKER, Maria Lúcia		
artigoEmPeriodico	 	2013		Improving postcryopreservation curvival capacity: an embryo-focused approach	Animal Reproduction	SUDANO, M.J.; PASCHOAL, D. M. ; Maziero, R. R. D. ; RASCADO, T. S. ; GUASTALI, M.D. ; CROCOMO, L.F. ; MAGALHÃES, L.C.O ; MONTEIRO, B.A. ; MARTINS JR, A. ; MACHADO, R. ; LANDIM-ALVARENGA, F. D. C.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1071/rd13099	Cryotolerance and global gene-expression patterns of Bos taurus indicus and Bos taurus taurus in vitro- and in vivo-produced blastocysts	Reproduction, Fertility and Development	SUDANO, MATEUS J.; CAIXETA, ESTER S. ; PASCHOAL, DANIELA M. ; Martins, Alicio ; Machado, Rui ; BURATINI, JOS' ; LANDIM-ALVARENGA, FERNANDA D. C.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.5935/1678-9741.20130060	Unstable angina does not increase mortality in coronary artery bypass graft surgery	Revista Brasileira de Cirurgia Cardiovascular (Impresso)	SUSSENBACH, CAROLINA PELZER ; GUARAGNA, JOÃO CARLOS ; CASTAGNINO, RÔMULO SOARES ; Piccoli, Jaqueline ; ALBUQUERQUE, Luciano Cabral ; GOLDANI, MARCO ANTÔNIO ; PETRACCO, João Batista ; BODANESE, Luiz Carlos		
artigoEmPeriodico	 	2013		Morbidade e mortalidade de recém-nascidos em tratamento intensivo neonatal no sul do Brasil	Revista da Sociedade Brasileira de Enfermeiros Pediatras	TADIELO, B. Z. ; NEVES, E. T. ; ARRUE, A. M. ; SILVEIRA, A. DA SILVEIRA, A. ; RIBEIRO, A. C. ; TRONCO, C. S. ; NEVES, A. T. ; WEIS, P. S. C.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1002/jms.3231	Optimal single-embryo mass spectrometry fingerprinting	Journal of Mass Spectrometry (Print)	TATA, A. ; SUDANO, M.J. ; SANTOS, V. G. ; LANDIM-ALVARENGA, F. D. C. ; FERREIRA, C. R. ; EBERLIN, M. N.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/s0102-09352013000400019	Infusão contínua de morfina ou fentanil, associados à lidocaína e cetamina, em cães anestesiados com isofluorano	Arquivo Brasileiro de Medicina Veterinária e Zootecnia	THIESEN, Roberto; BELMONTE, EMILIO DE ALMEIDA ; NUNES, N. ; LOPES, Patricia Cristina Ferro ; BARBOSA, Vivian Fernanda ; MORO, Juliana Vitti ; BATISTA, P.A.C.S. ; BORGES, Paula Araceli		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1590/s0102-09352013000400011	Hemodynamic and antiarrhythmic effects of lidocaine or amiodarone in dogs anesthetized with halothane	Arquivo Brasileiro de Medicina Veterinária e Zootecnia	THIESEN, Roberto; MORO, Juliana Vitti ; NUNES, N. ; BARBOSA, Vivian Fernanda ; LOPES, Patricia Cristina Ferro ; BELMONTE, EMILIO DE ALMEIDA ; BORGES, Paula Araceli ; BATISTA, Priscila Andrea da Costa ; COSTA, Paula Ferreira da		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.mimet.2013.02.002	A simple, rapid and inexpensive screening method for the identification of Pythium insidiosum	Journal of Microbiological Methods	TONDOLO, JULIANA SIMONI MORAES ; Loreto, Érico Silva ; DENARDI, Laura Bedin ; MARIO, Débora Alves Nunes ; ALVES, Sydney Hartz ; Santurio, Janio Morais		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.exppara.2013.07.014	E-NTPDase and E-ADA activities in lymphocytes associated with the immune response of rats experimentally infected with Toxoplasma gondii	Experimental Parasitology	Tonin, Alexandre A. ; DA SILVA, ALEKSANDRO S. ; RUCHEL, JADER B. ; Rezer, João F.P. ; CAMILLO, GIOVANA ; FACCIO, LUCIANA ; FRANÇA, RAQUELI T. ; Leal, Daniela B.R. ; DUARTE, MARTA M.M.F. ; VOGEL, FERNADA F. ; DE LA RUE, MARIO L. ; Lopes, Sonia T.A.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.rvsc.2012.07.032	Nucleotide sequencing and phylogenetic analysis of the 3 region of glycoprotein C gene of South American bovine herpesviruses 1 and 5	Research in Veterinary Science	TRAESEL, C. K.; Silva, M.S. ; SPILKI, F. R. ; WEIBLEN, R. ; FLORES, E. F.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.pnpbp.2013.06.007	Influence of lifelong dietary fats on the brain fatty acids and amphetamine-induced behavioral responses in adult rat	Progress in Neuro-Psychopharmacology & Biological Psychiatry	Trevizol, F. ; Roversi, K. ; Dias, V.T. ; ROVERSI, KR. ; PASE, C. S. ; BARCELOS, R. C. S. ; Barcelos, R.C.S. ; BENVEGNU, D.M. ; KUHN, F.T. ; Dolci, G.S. ; ROSS, D.H. ; VEIT, J.C. ; PICCOLO, J. ; Emanuelli, T. ; BÜRGER, M.E.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.5007/1980-0037.2013v15n2p215	Relação entre sensibilidade plantar e controle postural em jovens e idosos	Revista Brasileira de Cineantropometria & Desempenho Humano (Online)	UEDA, L. ; CARPES, FP		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1002/jat.2783	Cadmium inhibits the ovary δ-aminolevulinate dehydratase activity <i>in vitro</i> and <i>ex vivo</i> : protective role of seleno-furanoside	JAT. Journal of Applied Toxicology	Vargas, Laura Musacchio ; Soares, Melina Bucco ; Izaguirry, Aryele Pinto ; Lüdtke, Diogo Seibert ; Braga, Hugo C. ; Savegnago, Lucielli ; Wollenhaupt, Suzi ; BRUM, D. S. ; LEIVAS, F.G. ; Leivas, Fábio Gallas ; Santos, Francielli Weber		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1016/j.jep.2013.07.027	Antinociceptive effect of Mirabilis jalapa on acute and chronic pain models in mice	Journal of Ethnopharmacology	WALKER, CRISTIANI I.B. ; TREVISAN, GABRIELA ; ROSSATO, MATEUS F. ; SILVA, CÁSSIA R. ; PINHEIRO, FRANCIELE V. ; FRANCISCATO, CARINA ; TATSCH, ETIANE ; MORETTO, MARIA B. ; SILVA, MORGANA D. ; MANFRON, MELÂNIA P. ; NOAL MORESCO, RAFAEL ; Santos, Adair R.S. ; PEREIRA, MARIA E. ; Ferreira, Juliano		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1111/vcp.12097	Disease distribution in canine patients with acanthocytosis: 123 cases	Veterinary Clinical Pathology	WARRY, E. ; BOHN, A.A. ; Emanuelli, M.P. ; THAMM, D. ; LANA, S.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.1007/s00580-011-1397-y	Trypanosoma evansi infection on levels of copper, iron, and zinc in the plasma of rats	Comparative Clinical Pathology (Internet)	Wolkmer, Patrícia ; SILVA, CÁSSIA BAGOLIN ; SCHMIDT, CANDICE ; MESKO, MARCIA ; TRAESEL, C. K. ; SILVA, ALEKSANDRO SCHAEFER ; CECCO, BIANCA S. ; FLORES, ÉRICO M. M. ; Monteiro, Sílvia Gonzalez ; MAZZANTI, C. M. A. ; ANJOS LOPES, SONIA TEREZINHA		
artigoEmPeriodico	 	2013		O cuidado familial a criança com necessidades especiais de saúde no contexto da comunidade	Ciência, Cuidado e Saúde (Online)	ZAMBERLAN, K. C. ; NEVES, E. T. ; SILVEIRA, A. DA SILVEIRA, A. ; PAULA, C.C.		
artigoEmPeriodico	 	2013		Compreensão do serviço de Fisioterapia pela comunidade atendida em uma Unidade Básica de Saúde do município de Uruguaiana/RS.	Fisioterapia Brasil	ZANELLA, Â. K.; SANTOS, C. L. ; PLATE, E. F. ; MUNOZ, F. A. ; MADEIRA, J. C. ; SANTOS, L. S. ; PIRES, M. S. ; FLORIANO, P. M.		
artigoEmPeriodico	 	2013	http://dx.doi.org/10.9789/2175-5361	ROOMING-IN AND BREASTFEEDING: REVIEWING THE IMPACT ON SCIENTIFIC PRODUCTION OF NURSING	Revista de Pesquisa: Cuidado e Fundamental (Online)	ZENKNER, J. R. G. ; MIORIM, CFB ; CARDOSO, Leticia Silveira ; RIBEIRO, Juliane Portella ; CEZAR-VAZ, Marta Regina ; ROCHA, L. P.		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1590/S0100-736X2012000400012	Epilepsia em cães: 66 casos (2005-2010)	PESQUISA VETERINARIA BRASILEIRA	AIELLO, G. ; SANTOS, Rosmarini Passos dos ; BECKMANN, Diego Vilibaldo ; Rosmarini P. Santos ; ANDRADES, A. O. ; RIPPLINGER, A. ; SILVA, Ana Paula da ; MAZZANTI, A.		
artigoEmPeriodico	 	2012		Influência das órteses plantares no ciclismo	Revista Brasileira de Ciência e Movimento	ALENCAR, T. A. M. ; BINI, R. R. ; MATIAS, K. F. S. ; DIEFENTHAELER, F. ; CARPES, FP ; COHEN, M.		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1007/s11248-012-9627-x	Growth hormone transgenesis affects osmoregulation and energy metabolism in zebrafish (Danio rerio)	Transgenic Research	ALMEIDA, Daniela Volcan ; Martinez Gaspar Martins, Camila ; Azevedo Figueiredo, Márcio ; LANES, Carlos Frederico Ceccon ; BIANCHINI, Adalto ; MARINS, Luis Fernando		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1590/S0103-21002012000200018	Trabalhador portuário: perfil de doenças ocupacionais diagnosticadas em serviço de saúde ocupacional	Acta Paulista de Enfermagem (UNIFESP. Impresso)	Almeida, Marlise Capa Verde de ; CEZAR-VAZ, Marta Regina ; Rocha, Laurelize Pereira ; CARDOSO, Leticia Silveira		
artigoEmPeriodico	 	2012		Tecnologias e programas de fomento em prol da sustentabilidade na bovinocultura: revisão de literatura	Veterinária em Foco (ULBRA)	Alves, C.O. ; OAIGEN, Ricardo Pedroso ; DOMINGUES, F. N. ; MIRANDA, A. S. ; MAIA, J. T. S. ; FERREIRA, G. V. L.		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1007/s11046-012-9538-7	Effects of Antifungal Agents Alone and in Combination Against Candida glabrata Strains Susceptible or Resistant to Fluconazole	Mycopathologia (1975. Print)	ALVES, Izabel Almeida ; Bandeira, Laíssa Arévalo ; MARIO, Débora Alves Nunes ; DENARDI, Laura Bedin ; Neves, Louise Vignoles ; Santurio, Janio Morais ; ALVES, Sydney Hartz		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1590/S0001-37652012005000033	A comparative expression analysis of gene transcripts in brain tissue of non-transgenic and GH-transgenic zebrafish (Danio rerio) using a DDRT-PCR approach	Anais da Academia Brasileira de Ciências (Impresso)	Alves-Costa, Fernanda A. ; Figueiredo, Márcio A. ; Lanes, Carlos F.C. ; Almeida, Daniela V. ; Marins, Luis F. ; Wasko, Adriane P.		
artigoEmPeriodico	 	2012	http://dx.doi.org/10.1016/j.tiv.2011.10.006	The antioxidant properties of different phthalocyanines	Toxicology in Vitro	AMARAL, G. P. ; PUNTEL, G.O. ; DALLA CORTE, C. L. ; DOBRACHINSKI, F. ; BARCELOS, R. P. ; Luíza Lena Bastos ; ÁVILA, Daiana Silva de ; ROCHA, João B. T. ; SILVA, E. O. ; PUNTEL, Robson ; SOARES, Félix A. A.		
